,City,Clouds,Country,Date,Humidity,Lat,Lon,Max Temp,Winds
0,Nikolskoye,0,RU,7/23/2018,94,59.7,30.79,69.8,4.47
1,Sitka,8,US,7/23/2018,49,37.17,-99.65,93.7,7.49
2,Mataura,48,NZ,7/23/2018,100,-46.19,168.86,35.02,4.47
3,Praia da Vitoria,75,PT,7/23/2018,94,38.73,-27.07,71.6,15.66
4,Quang Ngai,76,VN,7/23/2018,75,15.12,108.8,78.76,3.13
5,Mvuma,44,ZW,7/23/2018,90,-19.28,30.53,51.22,7.72
6,Dikson,88,RU,7/23/2018,91,73.51,80.55,47.17,12.64
7,Comodoro Rivadavia,0,AR,7/23/2018,74,-45.87,-67.48,53.6,21.92
8,Bluff,0,AU,7/23/2018,81,-23.58,149.07,42.22,4.03
9,Cape Town,0,ZA,7/23/2018,72,-33.93,18.42,59,10.29
10,Cabo San Lucas,40,MX,7/23/2018,46,22.89,-109.91,98.6,9.17
11,Barrow,0,AR,7/23/2018,54,-38.31,-60.23,40.69,4.7
12,Jumla,48,NP,7/23/2018,92,29.28,82.18,38.44,3.02
13,Clyde River,75,CA,7/23/2018,80,70.47,-68.59,37.4,33.33
14,Kapaa,90,US,7/23/2018,100,22.08,-159.32,82.4,11.41
15,Rikitea,80,PF,7/23/2018,100,-23.12,-134.97,74.35,18.23
16,Georgetown,75,GY,7/23/2018,66,6.8,-58.16,89.6,11.41
17,Punta Arenas,90,CL,7/23/2018,70,-53.16,-70.91,44.6,12.75
18,Ushuaia,75,AR,7/23/2018,91,-54.81,-68.31,44.6,5.82
19,Goba,32,ET,7/23/2018,95,7.01,39.97,50.14,3.13
20,Lebu,75,ET,7/23/2018,93,8.96,38.73,59,4.7
21,Kavieng,48,PG,7/23/2018,100,-2.57,150.8,81.19,10.4
22,Tasiilaq,0,GL,7/23/2018,50,65.61,-37.64,51.8,8.05
23,Teahupoo,20,PF,7/23/2018,61,-17.83,-149.27,82.4,6.93
24,Vila Velha,0,BR,7/23/2018,61,-3.71,-38.6,82.4,17.22
25,Butaritari,36,KI,7/23/2018,100,3.07,172.79,82.54,5.03
26,Hobart,75,AU,7/23/2018,71,-42.88,147.33,50,5.82
27,Khatanga,0,RU,7/23/2018,72,71.98,102.47,40.69,3.13
28,Hermanus,20,ZA,7/23/2018,35,-34.42,19.24,70.75,8.16
29,College,1,US,7/23/2018,33,64.86,-147.8,77,3.36
30,Komsomolskiy,0,RU,7/23/2018,63,67.55,63.78,65.62,3.69
31,Vaini,92,IN,7/23/2018,99,15.34,74.49,70.39,7.72
32,Khandbari,0,NP,7/23/2018,66,27.38,87.21,44.56,1.68
33,Hofn,90,IS,7/23/2018,81,64.25,-15.21,51.8,6.93
34,Jamestown,0,AU,7/23/2018,91,-33.21,138.6,46.99,12.41
35,Port Moresby,90,PG,7/23/2018,100,-9.47,147.16,71.6,2.24
36,Tuktoyaktuk,20,CA,7/23/2018,53,69.44,-133.03,77,8.05
37,Omboue,48,GA,7/23/2018,100,-1.57,9.26,72.82,11.52
38,Tiksi,68,RU,7/23/2018,80,71.64,128.87,41.41,10.63
39,Nuuk,40,GL,7/23/2018,62,64.17,-51.74,53.6,6.93
40,Onega,76,RU,7/23/2018,73,63.91,38.09,68.59,4.92
41,Oil City,90,US,7/23/2018,73,41.43,-79.71,77,11.41
42,Khasan,8,RU,7/23/2018,96,42.43,130.64,69.85,2.13
43,Preobrazheniye,0,RU,7/23/2018,90,42.9,133.91,73.27,2.35
44,Hitchin,0,GB,7/23/2018,44,51.95,-0.28,80.6,8.05
45,Ilulissat,75,GL,7/23/2018,87,69.22,-51.1,46.4,10.29
46,Sur,92,OM,7/23/2018,78,22.57,59.53,90.01,9.4
47,Alice Springs,90,AU,7/23/2018,37,-23.7,133.88,53.6,3.8
48,Arraial do Cabo,40,BR,7/23/2018,78,-22.97,-42.02,75.2,3.36
49,Manbij,0,SY,7/23/2018,45,36.53,37.96,82.4,11.41
50,Port Alfred,12,ZA,7/23/2018,57,-33.59,26.89,70.03,9.62
51,Bethel,40,US,7/23/2018,67,60.79,-161.76,62.6,6.93
52,Albany,75,US,7/23/2018,83,42.65,-73.75,82.4,9.17
53,Cherskiy,76,RU,7/23/2018,40,68.75,161.3,69.4,10.18
54,Saskylakh,68,RU,7/23/2018,78,71.97,114.09,35.02,8.39
55,Urubamba,40,PE,7/23/2018,38,-13.31,-72.12,60.8,3.36
56,Busselton,92,AU,7/23/2018,100,-33.64,115.35,62.47,17.22
57,Ribeira Grande,75,PT,7/23/2018,78,38.52,-28.7,73.4,12.75
58,Mackenzie,40,CA,7/23/2018,45,55.34,-123.09,66.2,6.93
59,Vuktyl,0,RU,7/23/2018,70,63.86,57.31,62.74,2.24
60,Alta Floresta,0,BR,7/23/2018,25,-9.87,-56.08,96.8,9.17
61,Arman,0,RU,7/23/2018,87,59.7,150.17,48.2,2.24
62,Touros,56,BR,7/23/2018,81,-5.2,-35.46,77.14,18.34
63,Dersca,75,RO,7/23/2018,93,47.99,26.21,66.2,10.29
64,Yellowknife,75,CA,7/23/2018,37,62.45,-114.38,68,4.7
65,Deutsch-Wagram,0,AT,7/23/2018,57,48.3,16.56,75.2,9.17
66,Grindavik,75,IS,7/23/2018,81,63.84,-22.43,55.4,10.29
67,Adrar,0,DZ,7/23/2018,10,27.87,-0.29,105.8,6.93
68,Buraydah,0,SA,7/23/2018,21,26.33,43.97,100.4,6.93
69,Lavrentiya,80,RU,7/23/2018,90,65.58,-170.99,45.64,4.7
70,Blonie,0,PL,7/23/2018,53,52.2,20.62,75.2,9.17
71,Sulphur Springs,1,US,7/23/2018,25,33.14,-95.6,102.2,6.93
72,Esperance,40,TT,7/23/2018,62,10.24,-61.45,89.6,19.46
73,Lanzhou,0,CN,7/23/2018,100,36.06,103.82,57.2,2.24
74,Codrington,0,AU,7/23/2018,87,-28.95,153.24,42.4,4.59
75,Puerto Ayora,40,EC,7/23/2018,54,-0.74,-90.35,82.4,20.8
76,Bredasdorp,20,ZA,7/23/2018,87,-34.53,20.04,53.6,3.36
77,Severo-Kurilsk,76,RU,7/23/2018,97,50.68,156.12,51.31,10.18
78,Pisco,90,PE,7/23/2018,77,-13.71,-76.2,66.2,10.29
79,Saint-Joseph,0,FR,7/23/2018,73,43.56,6.97,78.8,2.24
80,Limon,90,US,7/23/2018,60,39.26,-103.69,75.2,13.87
81,Luau,0,CD,7/23/2018,37,-10.7,22.23,64.09,5.93
82,Port Elizabeth,75,US,7/23/2018,74,39.31,-74.98,84.2,14.99
83,Espanola,44,CA,7/23/2018,70,46.27,-81.77,77.95,3.69
84,Porto Velho,40,BR,7/23/2018,30,-8.75,-63.87,93.2,3.36
85,Samarai,88,PG,7/23/2018,100,-10.62,150.67,77.68,15.88
86,Kupang,0,ID,7/23/2018,98,-10.16,123.6,73.09,10.63
87,Kinloss,75,GB,7/23/2018,88,57.63,-3.57,66.2,11.41
88,Luderitz,0,NA,7/23/2018,74,-26.65,15.16,56.89,1.9
89,Ponta do Sol,64,BR,7/23/2018,52,-20.63,-46,68.95,3.13
90,Alamosa,1,US,7/23/2018,30,37.47,-105.87,82.4,6.93
91,Victoria,75,BN,7/23/2018,94,5.28,115.24,80.6,1.79
92,Strezhevoy,0,RU,7/23/2018,72,60.73,77.6,64.4,8.95
93,Lubbenau,0,DE,7/23/2018,47,51.87,13.97,75.2,6.93
94,Kronshagen,20,DE,7/23/2018,73,54.33,10.08,69.8,6.93
95,Aden,68,YE,7/23/2018,80,12.79,45.03,84.52,17.78
96,Laguna,5,MX,7/23/2018,37,27.52,-110.01,98.6,5.82
97,Lodwar,56,KE,7/23/2018,55,3.12,35.6,75.97,9.4
98,Nizwa,64,OM,7/23/2018,44,22.93,57.53,85.15,3.58
99,Nanortalik,0,GL,7/23/2018,95,60.14,-45.24,40.87,0.67
100,Mareeba,20,AU,7/23/2018,93,-16.99,145.42,64.4,6.93
101,Husavik,24,CA,7/23/2018,80,50.56,-96.99,72.01,13.65
102,Cidreira,92,BR,7/23/2018,100,-30.17,-50.22,53.74,10.18
103,Atuona,12,PF,7/23/2018,100,-9.8,-139.03,79.48,21.03
104,Carnarvon,36,ZA,7/23/2018,51,-30.97,22.13,51.04,10.85
105,Hithadhoo,92,MV,7/23/2018,100,-0.6,73.08,78.04,8.84
106,Saint-Philippe,75,CA,7/23/2018,74,45.36,-73.48,84.2,18.34
107,Vardo,40,US,7/23/2018,88,39.62,-77.74,82.4,4.7
108,Bartica,75,GY,7/23/2018,66,6.41,-58.62,89.6,11.41
109,Piacabucu,92,BR,7/23/2018,93,-10.41,-36.43,73.27,10.63
110,Inuvik,20,CA,7/23/2018,37,68.36,-133.71,84.2,5.82
111,Bambous Virieux,75,MU,7/23/2018,73,-20.34,57.76,71.6,21.92
112,New Richmond,90,CA,7/23/2018,94,48.17,-65.87,75.2,5.82
113,Zhigansk,0,RU,7/23/2018,68,66.77,123.37,52.48,5.48
114,Hilo,1,US,7/23/2018,74,19.71,-155.08,82.4,5.82
115,Kuroiso,20,JP,7/23/2018,87,36.97,140.05,71.47,2.13
116,Iralaya,40,HN,7/23/2018,66,15,-83.23,87.8,9.17
117,Nigde,0,TR,7/23/2018,73,37.97,34.68,51.94,2.24
118,Hervey Bay,0,AU,7/23/2018,100,-25.3,152.85,61.12,3.24
119,Salalah,90,OM,7/23/2018,83,17.01,54.1,80.6,3.36
120,Agadez,0,NE,7/23/2018,26,16.97,7.99,88.75,9.28
121,Saint George,75,GR,7/23/2018,53,39.45,22.34,75.2,17.22
122,Mogadishu,100,SO,7/23/2018,100,2.04,45.34,74.62,22.82
123,Norman Wells,20,CA,7/23/2018,44,65.28,-126.83,77,11.41
124,Bowen,0,AU,7/23/2018,93,-20.01,148.25,53.6,5.82
125,Beisfjord,75,NO,7/23/2018,82,68.38,17.6,55.4,10.29
126,Havelock,75,US,7/23/2018,83,34.88,-76.9,84.2,12.75
127,Bila Tserkva,88,UA,7/23/2018,90,49.8,30.11,68.32,6.04
128,Valkla,0,EE,7/23/2018,72,59.48,25.33,68,3.36
129,Oranjemund,0,ZA,7/23/2018,96,-28.55,16.43,59.77,1.57
130,Keetmanshoop,0,NA,7/23/2018,44,-26.57,18.15,55.27,9.73
131,Mahebourg,75,MU,7/23/2018,73,-20.41,57.7,71.6,21.92
132,Petropavlovsk-Kamchatskiy,90,RU,7/23/2018,100,53.05,158.65,53.6,4.47
133,Broken Hill,0,AU,7/23/2018,83,-31.97,141.45,39.52,4.14
134,Paraiso,20,MX,7/23/2018,23,24.01,-104.61,84.2,9.17
135,Neftegorsk,80,RU,7/23/2018,53,52.8,51.16,63.82,12.19
136,Ambon,0,FR,7/23/2018,60,47.55,-2.56,73.4,5.82
137,Mar del Plata,0,AR,7/23/2018,51,-46.43,-67.52,52.3,15.21
138,Saint-Francois,0,FR,7/23/2018,50,46.42,3.91,75.2,3.36
139,Sioux Lookout,75,CA,7/23/2018,57,50.1,-91.92,78.8,3.36
140,Grand Gaube,75,MU,7/23/2018,73,-20.01,57.66,71.6,21.92
141,Burgersdorp,12,ZA,7/23/2018,83,-30.99,26.32,40.51,6.6
142,Port Macquarie,90,AU,7/23/2018,93,-31.43,152.91,41,4.47
143,Hokitika,0,NZ,7/23/2018,100,-42.72,170.96,43.12,9.73
144,Katsuura,12,JP,7/23/2018,85,33.93,134.5,81.19,6.6
145,Brownwood,1,US,7/23/2018,13,31.71,-98.99,107.6,6.93
146,Tulsipur,36,IN,7/23/2018,84,27.53,82.41,79.75,11.41
147,East London,32,ZA,7/23/2018,88,-33.02,27.91,71.74,10.4
148,Kodiak,1,US,7/23/2018,61,39.95,-94.76,80.6,4.7
149,Namibe,0,AO,7/23/2018,98,-15.19,12.15,67.42,13.65
150,Hasaki,75,JP,7/23/2018,94,35.73,140.83,77,5.82
151,New Norfolk,75,AU,7/23/2018,71,-42.78,147.06,50,5.82
152,Pilar,0,AR,7/23/2018,37,-34.46,-58.91,51.8,5.82
153,Avarua,75,CK,7/23/2018,78,-21.21,-159.78,75.2,3.36
154,Nanakuli,90,US,7/23/2018,94,21.39,-158.15,80.6,6.93
155,Tessalit,0,ML,7/23/2018,17,20.2,1.01,84.88,3.58
156,Grants,1,US,7/23/2018,18,35.15,-107.85,91.4,17.22
157,Palmer,75,US,7/23/2018,52,61.6,-149.11,66.2,5.82
158,Chokurdakh,92,RU,7/23/2018,89,70.62,147.9,49.42,16.78
159,Gamboma,12,CG,7/23/2018,71,-1.87,15.88,73.81,8.61
160,Los Llanos de Aridane,20,ES,7/23/2018,68,28.66,-17.92,71.6,11.41
161,Veraval,0,FR,7/23/2018,60,49.65,0.71,69.8,8.05
162,Chuy,44,UY,7/23/2018,80,-33.69,-53.46,48.52,17
163,Moose Factory,75,CA,7/23/2018,68,51.26,-80.61,69.8,8.05
164,Atar,88,MR,7/23/2018,18,20.52,-13.05,96.67,3.69
165,Sao Miguel do Araguaia,0,BR,7/23/2018,72,-13.28,-50.16,77.77,2.91
166,San Patricio,88,PY,7/23/2018,74,-26.98,-56.83,56.17,8.05
167,Biak,76,ID,7/23/2018,100,-0.91,122.88,74.44,5.93
168,Castro,56,CL,7/23/2018,91,-42.48,-73.76,46.63,1.79
169,Port Lincoln,12,AU,7/23/2018,85,-34.72,135.86,60.04,27.29
170,Emerald,0,AU,7/23/2018,83,-23.53,148.16,42.85,4.59
171,Geraldton,75,CA,7/23/2018,47,49.72,-86.95,80.6,6.93
172,Rumoi,12,JP,7/23/2018,90,43.93,141.67,61.75,2.13
173,Askarovo,0,RU,7/23/2018,82,53.34,58.51,55.4,6.71
174,Meulaboh,64,ID,7/23/2018,100,4.14,96.13,78.04,3.47
175,Ossora,88,RU,7/23/2018,100,59.24,163.07,53.74,12.64
176,Airai,0,TL,7/23/2018,76,-8.93,125.41,54.46,2.01
177,Ruzhyn,64,UA,7/23/2018,91,49.72,29.2,66.97,6.38
178,Balkhash,0,KZ,7/23/2018,100,46.84,74.98,61.21,10.74
179,Riyadh,0,SA,7/23/2018,9,24.63,46.72,96.8,8.05
180,Miles City,1,US,7/23/2018,26,46.41,-105.84,82.4,9.06
181,Lagoa,0,PT,7/23/2018,53,37.14,-8.45,77,11.41
182,Yar-Sale,12,RU,7/23/2018,84,66.83,70.83,55.36,4.92
183,Ayan,44,TR,7/23/2018,89,40.67,33.6,56.35,2.01
184,Huarmey,8,PE,7/23/2018,62,-10.07,-78.15,71.74,3.69
185,San Cristobal,75,EC,7/23/2018,55,-0.39,-78.55,64.4,24.16
186,Ratnagiri,92,IN,7/23/2018,100,16.98,73.3,77.32,16.67
187,Mineral del Monte,0,MX,7/23/2018,42,20.14,-98.67,82,3.02
188,Baykit,92,RU,7/23/2018,98,61.68,96.39,53.47,5.7
189,Ozernovskiy,88,RU,7/23/2018,97,51.5,156.52,53.29,6.15
190,Namtsy,20,RU,7/23/2018,72,62.72,129.66,55.81,4.81
191,Kaitangata,92,NZ,7/23/2018,95,-46.28,169.85,42.31,7.49
192,Khvorostyanka,92,RU,7/23/2018,56,52.62,48.95,67.06,10.85
193,Arlit,0,NE,7/23/2018,17,18.74,7.39,80.29,1.57
194,Iroquois Falls,75,CA,7/23/2018,69,48.76,-80.69,77,6.93
195,Tiznit,0,MA,7/23/2018,88,29.7,-9.73,70.84,4.03
196,Pangnirtung,75,CA,7/23/2018,81,66.15,-65.72,46.4,21.92
197,Paragominas,76,BR,7/23/2018,45,-3,-47.35,89.2,8.72
198,Pevek,68,RU,7/23/2018,62,69.7,170.27,58.69,22.82
199,Esqueda,0,MX,7/23/2018,28,30.72,-109.59,97.66,2.24
200,Hobyo,0,SO,7/23/2018,77,5.35,48.53,76.24,24.05
201,Bauchi,44,NG,7/23/2018,98,10.31,9.85,70.12,2.13
202,Sola,0,FI,7/23/2018,83,62.78,29.36,71.6,5.82
203,San Policarpo,88,PH,7/23/2018,98,12.18,125.51,80.29,14.76
204,Zhoucheng,0,CN,7/23/2018,96,31.35,119.33,76.33,2.46
205,Berdigestyakh,20,RU,7/23/2018,72,62.1,126.7,54.28,2.57
206,Aviles,20,ES,7/23/2018,94,43.55,-5.92,69.8,3.36
207,Moses Lake,1,US,7/23/2018,16,47.13,-119.28,91.4,5.82
208,Portland,20,US,7/23/2018,35,45.52,-122.67,87.8,8.05
209,Thames,48,NZ,7/23/2018,93,-37.14,175.55,44.6,3.36
210,Vila Franca do Campo,20,PT,7/23/2018,78,37.72,-25.43,73.4,11.41
211,Shelbyville,75,US,7/23/2018,61,39.41,-88.79,80.6,9.17
212,Saint-Pierre,0,FR,7/23/2018,53,48.95,4.24,77,3.36
213,Souillac,0,FR,7/23/2018,39,45.6,-0.6,82.4,2.24
214,Pocone,0,BR,7/23/2018,53,-16.26,-56.62,84.25,5.93
215,Udachnyy,56,RU,7/23/2018,83,66.42,112.4,49.6,4.7
216,Cap Malheureux,75,MU,7/23/2018,73,-19.98,57.61,71.6,21.92
217,Ust-Kuyga,20,RU,7/23/2018,77,70,135.55,42.85,8.28
218,Melfi,90,IT,7/23/2018,93,41,15.66,71.6,9.17
219,Broome,0,GB,7/23/2018,57,52.47,1.45,82.4,10.29
220,Yebaishou,92,CN,7/23/2018,98,41.4,119.64,71.65,4.59
221,Gizo,0,IL,7/23/2018,65,31.8,34.94,82.4,3.36
222,Bandarbeyla,32,SO,7/23/2018,80,9.49,50.81,76.42,31.54
223,Nemuro,64,JP,7/23/2018,100,43.32,145.57,58.33,1.23
224,Lompoc,1,US,7/23/2018,68,34.64,-120.46,86,16.11
225,Belmonte,0,PT,7/23/2018,66,40.36,-7.35,67.87,4.14
226,Umm Lajj,0,SA,7/23/2018,100,25.02,37.27,77.77,2.57
227,Port Blair,92,IN,7/23/2018,100,11.67,92.75,81.64,19.8
228,Lorengau,92,PG,7/23/2018,100,-2.02,147.27,81.1,8.16
229,Sharan,8,AF,7/23/2018,66,33.15,68.78,57.43,2.68
230,Aksarka,68,RU,7/23/2018,63,66.56,67.8,66.34,4.14
231,Arroyo,75,US,7/23/2018,78,41.39,-78.88,75.2,11.41
232,Ajdabiya,0,LY,7/23/2018,23,30.75,20.22,79.75,2.8
233,Mchinji,0,MW,7/23/2018,76,-13.8,32.89,50.95,6.49
234,North Bend,1,US,7/23/2018,72,43.41,-124.22,62.6,17.22
235,Shingu,0,JP,7/23/2018,93,33.72,135.99,82.63,2.35
236,Ambilobe,0,MG,7/23/2018,62,-13.19,49.05,71.74,14.2
237,Mao,20,DO,7/23/2018,62,19.55,-71.08,89.6,17.22
238,Novosergiyevka,8,RU,7/23/2018,51,52.08,53.65,60.58,9.17
239,Hay River,40,CA,7/23/2018,63,60.82,-115.79,60.8,8.05
240,Sajanan,0,TN,7/23/2018,73,37.06,9.24,77,9.17
241,Mezen,0,RU,7/23/2018,45,65.85,44.24,73.72,7.16
242,Upernavik,88,GL,7/23/2018,94,72.79,-56.15,39.61,2.91
243,Srednekolymsk,68,RU,7/23/2018,64,67.46,153.71,66.52,3.02
244,Bereda,75,ES,7/23/2018,88,43.27,-7.54,66.2,4.7
245,Borba,0,PT,7/23/2018,29,38.81,-7.46,89.6,10.29
246,Klaksvik,92,FO,7/23/2018,93,62.23,-6.59,50,4.7
247,Salamiyah,0,SY,7/23/2018,53,35.01,37.05,71.65,6.71
248,Faanui,56,PF,7/23/2018,99,-16.48,-151.75,80.38,12.75
249,Prainha,20,BR,7/23/2018,62,-1.8,-53.48,87.31,3.47
250,Nome,1,US,7/23/2018,50,30.04,-94.42,96.8,9.17
251,Port Shepstone,0,ZA,7/23/2018,82,-30.74,30.45,62.92,3.69
252,Wana,12,PK,7/23/2018,100,32.31,69.59,61.75,1.9
253,Tandil,0,AR,7/23/2018,65,-37.33,-59.14,39.52,5.37
254,Lerwick,40,GB,7/23/2018,82,60.15,-1.15,55.4,11.41
255,Pangai,75,TO,7/23/2018,73,-19.8,-174.35,77,4.36
256,Moerai,8,PF,7/23/2018,100,-22.43,-151.33,75.79,7.83
257,Provideniya,90,RU,7/23/2018,100,64.42,-173.23,50,4.47
258,Longyearbyen,75,NO,7/23/2018,76,78.22,15.63,48.2,2.24
259,San Rafael del Sur,75,NI,7/23/2018,46,11.85,-86.44,91.4,16.11
260,Guerrero Negro,24,MX,7/23/2018,54,27.97,-114.04,83.71,11.3
261,Sisimiut,80,GL,7/23/2018,68,66.94,-53.67,48.97,8.72
262,Raudeberg,75,NO,7/23/2018,93,61.99,5.14,62.6,18.34
263,Bonthe,8,SL,7/23/2018,95,7.53,-12.5,75.34,4.03
264,kimparana,0,ML,7/23/2018,87,12.83,-4.92,77.41,3.69
265,Rocha,36,UY,7/23/2018,79,-34.48,-54.34,44.47,11.63
266,Xiongzhou,20,CN,7/23/2018,94,32.34,118.83,80.6,6.38
267,Nikolayevsk-na-amure,36,RU,7/23/2018,93,53.14,140.72,56.26,4.59
268,Westport,75,IE,7/23/2018,77,53.8,-9.52,59,8.05
269,Suluq,0,LY,7/23/2018,32,31.67,20.25,84.2,11.41
