,City,Clouds,Country,Date,Humidity,Lat,Lon,Max Temp,Winds
270,Samana,75,EC,7/23/2018,78,0.12,-76.97,80.6,4.7
271,Zhezkazgan,0,KZ,7/23/2018,44,47.8,67.71,55.99,10.96
272,Bridlington,32,GB,7/23/2018,69,54.08,-0.19,80.6,2.24
273,Barcelos,40,PT,7/23/2018,88,41.53,-8.62,68,9.17
274,Romitan,0,UZ,7/23/2018,33,39.93,64.38,86,16.11
275,Isla Vista,1,US,7/23/2018,57,34.41,-119.86,86,8.05
276,Krivosheino,88,RU,7/23/2018,59,57.34,83.93,59.14,13.65
277,Murray Bridge,12,AU,7/23/2018,94,-35.12,139.28,54.73,19.35
278,Gasa,92,BT,7/23/2018,92,27.91,89.73,34.66,1.57
279,Petauke,8,ZM,7/23/2018,80,-14.25,31.33,57.34,13.42
280,Ranot,76,TH,7/23/2018,81,7.78,100.32,79.39,8.28
281,Torbay,90,CA,7/23/2018,83,47.66,-52.73,75.2,25.28
282,Zhanakorgan,0,KZ,7/23/2018,28,43.91,67.25,69.85,17.67
283,Thompson,75,CA,7/23/2018,100,55.74,-97.86,60.8,6.93
284,Kabinda,0,CD,7/23/2018,29,-6.14,24.49,71.11,11.74
285,Hamilton,75,BM,7/23/2018,74,32.3,-64.78,82.4,14.99
286,Banda Aceh,12,ID,7/23/2018,96,5.56,95.32,75.79,4.03
287,Jizan,75,SA,7/23/2018,52,16.89,42.56,91.4,4.7
288,Mount Gambier,92,AU,7/23/2018,89,-37.83,140.78,52.21,11.18
289,Florianopolis,0,BR,7/23/2018,73,-27.6,-48.55,69.8,9.17
290,Gat,75,SN,7/23/2018,62,14.69,-16.54,87.8,6.93
291,Helena,1,US,7/23/2018,20,46.59,-112.04,84.2,3.36
292,Milkovo,64,BG,7/23/2018,100,41.53,24.68,68,3.36
293,Bundaberg,0,AU,7/23/2018,100,-24.87,152.35,64.54,5.7
294,Timbuktu,0,ML,7/23/2018,44,16.77,-3.01,89.02,3.13
295,Laramie,1,US,7/23/2018,60,41.31,-105.59,71.6,26.4
296,Yacuiba,90,AR,7/23/2018,54,-22.01,-63.68,55.4,11.41
297,Qaanaaq,32,GL,7/23/2018,100,77.48,-69.36,35.02,3.69
298,Sauda,68,NO,7/23/2018,85,59.65,6.35,58.15,2.46
299,Killybegs,76,IE,7/23/2018,98,54.63,-8.45,58.24,5.7
300,Celestun,0,MX,7/23/2018,97,20.87,-90.4,84.52,8.16
301,Necochea,0,AR,7/23/2018,78,-38.55,-58.74,42.31,7.61
302,Jaisalmer,68,IN,7/23/2018,53,26.91,70.91,90.1,10.51
303,Graham,90,US,7/23/2018,78,36.07,-79.4,86,3.36
304,Tabuk,92,PH,7/23/2018,97,17.41,121.44,68.14,0.34
305,Yulara,75,AU,7/23/2018,53,-25.24,130.99,51.8,6.93
306,Port-Gentil,75,GA,7/23/2018,88,-0.72,8.78,75.2,10.29
307,Ninohe,92,JP,7/23/2018,99,40.27,141.31,65.71,2.35
308,Hovd,0,NO,7/23/2018,63,63.83,10.7,66.2,1.12
309,Devils Lake,1,US,7/23/2018,50,48.11,-98.87,75.2,17.22
310,Sinnamary,80,GF,7/23/2018,95,5.38,-52.96,81.1,12.53
311,Mombetsu,44,JP,7/23/2018,93,44.35,143.35,57.34,3.24
312,Alyangula,0,AU,7/23/2018,100,-13.85,136.42,71.65,4.92
313,Iqaluit,75,CA,7/23/2018,87,63.75,-68.52,46.4,21.92
314,Lagunas,8,PE,7/23/2018,71,-5.23,-75.68,83.35,3.02
315,Sawtell,0,AU,7/23/2018,62,-30.38,153.1,53.6,11.41
316,Lowestoft,0,GB,7/23/2018,57,52.48,1.75,78.8,10.29
317,Namatanai,48,PG,7/23/2018,100,-3.66,152.44,80.11,15.88
318,Sabinas Hidalgo,0,MX,7/23/2018,22,26.51,-100.18,101.62,8.39
319,Prince Rupert,90,CA,7/23/2018,100,54.32,-130.32,57.2,5.82
320,Aleksandrov Gay,100,RU,7/23/2018,79,50.14,48.57,69.49,1.68
321,Fortuna,0,ES,7/23/2018,69,38.18,-1.13,78.8,2.24
322,Kyzyl-Suu,0,KG,7/23/2018,100,42.34,78,61.03,5.59
323,Bom Jardim,75,BR,7/23/2018,57,-7.8,-35.59,78.8,14.99
324,Cumbum,12,IN,7/23/2018,67,15.58,79.11,80.47,14.2
325,Jiangyin,32,CN,7/23/2018,96,31.91,120.26,78.4,2.8
326,Havoysund,40,NO,7/23/2018,87,71,24.66,55.4,8.05
327,Mount Isa,0,AU,7/23/2018,51,-20.73,139.49,35.6,2.8
328,Yeppoon,90,AU,7/23/2018,93,-23.13,150.74,48.2,1.12
329,Jutai,12,BR,7/23/2018,75,-1.71,-47.89,83.62,4.36
330,Beyneu,88,KZ,7/23/2018,29,45.32,55.19,78.31,16.22
331,Cuauhtemoc,40,MX,7/23/2018,31,28.72,-111.63,102.2,9.73
332,Sayyan,8,YE,7/23/2018,96,15.17,44.32,52.57,3.02
333,Omsukchan,76,RU,7/23/2018,67,62.53,155.8,56.98,4.25
334,Sorland,75,NO,7/23/2018,87,67.67,12.69,53.6,11.41
335,Shumyachi,8,RU,7/23/2018,84,53.86,32.43,66.07,11.41
336,Guaduas,75,CO,7/23/2018,45,5.07,-74.6,66.2,11.41
337,Clonakilty,75,IE,7/23/2018,93,51.62,-8.87,64.4,5.82
338,Itoman,75,JP,7/23/2018,94,26.12,127.67,82.4,5.82
339,Bahadurgarh,40,IN,7/23/2018,79,28.69,76.93,86,3.36
340,Kamenka,92,RU,7/23/2018,90,53.19,44.05,61.12,13.31
341,Clarence Town,88,AU,7/23/2018,65,-32.59,151.78,44.6,5.82
342,Cairns,20,AU,7/23/2018,93,-16.92,145.77,64.4,6.93
343,Mweka,0,CD,7/23/2018,30,-4.85,21.56,79.39,5.59
344,Srandakan,76,ID,7/23/2018,89,-7.94,110.25,71.47,3.91
345,Isangel,8,VU,7/23/2018,100,-19.55,169.27,71.29,13.76
346,Kikwit,8,CD,7/23/2018,54,-5.04,18.82,71.65,5.37
347,Sagarejo,0,GE,7/23/2018,73,41.73,45.33,71.6,11.41
348,Porbandar,92,IN,7/23/2018,82,21.64,69.61,82.54,19.8
349,Garwolin,0,PL,7/23/2018,53,51.9,21.61,75.2,9.17
350,Chake Chake,92,TZ,7/23/2018,99,-5.25,39.77,76.69,23.71
351,Narsaq,20,GL,7/23/2018,36,60.91,-46.05,64.4,5.82
352,Oyek,0,RU,7/23/2018,87,52.59,104.46,53.6,4.47
353,Kostomuksha,8,RU,7/23/2018,72,64.59,30.6,67.6,2.68
354,Yokadouma,80,CM,7/23/2018,98,3.52,15.05,68.23,2.57
355,Biltine,88,TD,7/23/2018,43,14.53,20.93,84.61,6.49
356,Tuy Hoa,76,VN,7/23/2018,83,13.08,109.3,82.81,12.64
357,Ancud,0,CL,7/23/2018,81,-41.87,-73.83,47.89,2.8
358,Boyolangu,0,ID,7/23/2018,90,-8.09,111.9,66.25,4.7
359,Heishan,8,CN,7/23/2018,87,41.69,122.12,77.5,4.7
360,Manacapuru,20,BR,7/23/2018,75,-3.3,-60.62,84.52,3.13
361,Oranjestad,20,AW,7/23/2018,62,12.52,-70.03,86,24.16
362,Aykhal,56,RU,7/23/2018,82,65.95,111.51,46.18,2.8
363,Valentin Gomez Farias,20,MX,7/23/2018,20,24.05,-104.7,86,8.05
364,Aguas Verdes,0,EC,7/23/2018,82,-3.48,-80.25,78.58,7.38
365,Pasighat,36,IN,7/23/2018,93,28.06,95.33,70.12,1.45
366,Bismarck,1,US,7/23/2018,32,46.81,-100.78,80.6,12.75
367,Chilliwack,20,CA,7/23/2018,42,49.17,-121.95,89.6,6.93
368,Saint-Paul,0,FR,7/23/2018,56,45.22,1.9,73.4,1.12
369,Kailua,20,US,7/23/2018,78,21.39,-157.74,82.4,9.17
370,Brae,40,GB,7/23/2018,82,60.4,-1.35,55.4,11.41
371,Chumikan,92,RU,7/23/2018,100,54.72,135.31,51.58,3.13
372,Lithakia,20,GR,7/23/2018,88,37.72,20.83,77,10.29
373,Gamba,92,CN,7/23/2018,100,28.28,88.52,33.67,0.78
374,Dunedin,92,NZ,7/23/2018,100,-45.87,170.5,39.52,2.35
375,Leshukonskoye,0,RU,7/23/2018,54,64.9,45.76,64.45,5.26
376,Maragogi,92,BR,7/23/2018,88,-9.01,-35.22,73.9,9.28
377,Bonavista,92,CA,7/23/2018,71,48.65,-53.11,67.15,15.77
378,Rio Grande,75,BR,7/23/2018,87,-32.03,-52.1,51.8,10.29
379,Warrnambool,44,AU,7/23/2018,98,-38.38,142.48,53.29,20.69
380,Caravelas,88,BR,7/23/2018,100,-17.73,-39.27,75.52,16.44
381,Abnub,0,EG,7/23/2018,55,27.27,31.15,87.8,11.41
382,Krasnogorskoye,0,RU,7/23/2018,84,57.7,52.5,55.09,2.24
383,Acapulco,75,MX,7/23/2018,74,16.86,-99.88,87.8,6.93
384,Kalmunai,8,LK,7/23/2018,98,7.42,81.82,74.8,2.68
385,Basoko,24,CD,7/23/2018,95,1.23,23.61,73.54,2.35
386,Durant,1,US,7/23/2018,30,33.99,-96.37,98.6,9.17
387,Cockburn Town,8,TC,7/23/2018,98,21.46,-71.14,82.36,18.45
388,Valparaiso,90,US,7/23/2018,78,41.47,-87.06,80.6,10.29
389,Chateau-Thierry,0,FR,7/23/2018,53,49.05,3.4,80.6,3.36
390,Itarema,0,BR,7/23/2018,47,-2.92,-39.92,86.95,9.95
391,Sliven,88,BG,7/23/2018,94,42.68,26.32,65.26,2.57
392,Antalaha,80,MG,7/23/2018,95,-14.9,50.28,68.95,15.77
393,Fort Saint James,24,CA,7/23/2018,57,54.43,-124.25,63.64,3.58
394,Mahon,75,IE,7/23/2018,93,51.89,-8.4,64.4,5.82
395,General Pico,0,AR,7/23/2018,34,-35.66,-63.75,47.35,3.13
396,Kruisfontein,0,ZA,7/23/2018,47,-34,24.73,69.94,12.41
397,Bazarnyye Mataki,92,RU,7/23/2018,83,54.9,49.93,64.72,9.17
398,Qixingtai,0,CN,7/23/2018,90,30.41,111.89,77.77,3.91
399,Nguruka,0,TZ,7/23/2018,49,-5.11,31.04,61.39,5.93
400,Praia,40,BR,7/23/2018,41,-20.25,-43.81,75.2,9.17
401,Straumen,0,NO,7/23/2018,63,63.87,11.3,66.2,1.12
402,Kirakira,48,SB,7/23/2018,100,-10.46,161.92,80.02,17.34
403,Mahina,68,ML,7/23/2018,100,13.76,-10.85,76.51,2.46
404,Bellevue,1,US,7/23/2018,34,47.61,-122.19,86,5.82
405,Duldurga,88,RU,7/23/2018,88,50.67,113.59,58.42,2.57
406,Fairbanks,1,US,7/23/2018,33,64.84,-147.72,77,3.36
407,Methala,90,IN,7/23/2018,94,10.22,76.22,77,1.9
408,Taguatinga,0,BR,7/23/2018,25,-15.83,-48.06,75.2,12.75
409,Dawlatabad,0,AF,7/23/2018,31,36.41,64.91,82.27,7.16
410,Vestmannaeyjar,92,IS,7/23/2018,100,63.44,-20.27,50.14,4.14
411,Govlyar,75,AZ,7/23/2018,65,40.95,45.73,78.8,9.17
412,Kamen-na-Obi,88,RU,7/23/2018,97,53.79,81.35,56.35,15.21
413,Klyuchevskiy,0,RU,7/23/2018,90,53.53,119.45,49.33,2.24
414,Sampit,0,ID,7/23/2018,90,-2.54,112.95,73.45,4.7
415,Khandyga,92,RU,7/23/2018,93,62.65,135.58,55.09,3.13
416,Mozarlandia,0,BR,7/23/2018,29,-14.74,-50.57,83.71,5.03
417,Santa Maria,90,BR,7/23/2018,81,-29.69,-53.81,53.6,10.29
418,High Rock,75,BS,7/23/2018,70,26.63,-78.28,89.6,10.29
419,Selenginsk,0,RU,7/23/2018,77,52.01,106.87,60.8,2.24
420,Hami,0,CN,7/23/2018,37,42.84,93.51,71.29,6.04
421,Kirovsk,32,RU,7/23/2018,72,67.62,33.66,65.62,3.69
422,Inirida,64,CO,7/23/2018,96,3.87,-67.92,74.62,2.35
423,Itirapina,0,BR,7/23/2018,28,-22.26,-47.82,82.4,5.82
424,Kenai,90,US,7/23/2018,87,60.55,-151.26,57.2,8.05
425,Khani,40,GE,7/23/2018,94,41.96,42.96,71.6,1.12
426,Kalengwa,0,ZM,7/23/2018,62,-13.47,25,57.7,11.3
427,Islamabad,75,PK,7/23/2018,83,33.69,73.06,80.6,6.82
428,Coquimbo,0,CL,7/23/2018,67,-29.95,-71.34,57.2,12.75
429,Kargopol,20,RU,7/23/2018,64,61.51,38.95,68.05,8.05
430,De-Kastri,92,RU,7/23/2018,94,51.48,140.77,54.73,3.58
431,Marshalltown,40,US,7/23/2018,61,42.04,-92.91,84.2,6.93
432,Holzgerlingen,0,DE,7/23/2018,60,48.64,9.01,73.4,3.36
433,Charters Towers,0,AU,7/23/2018,87,-20.07,146.27,53.38,4.14
434,Lodja,0,CD,7/23/2018,28,-3.52,23.6,79.39,5.59
435,Lahti,0,FI,7/23/2018,60,60.98,25.66,69.8,1.12
436,Solnechnyy,0,RU,7/23/2018,93,50.72,136.64,65.98,3.36
437,Talnakh,12,RU,7/23/2018,76,69.49,88.39,42.13,11.63
438,Baishishan,20,CN,7/23/2018,92,43.58,127.55,72.55,2.13
439,Vyartsilya,0,RU,7/23/2018,86,62.18,30.69,66.7,7.94
440,Lere,0,TD,7/23/2018,92,9.66,14.23,75.79,6.6
441,Saint Anthony,1,US,7/23/2018,18,43.97,-111.68,84.2,5.82
442,Nyurba,8,RU,7/23/2018,91,63.29,118.35,49.24,2.57
443,Smirnykh,48,RU,7/23/2018,92,49.74,142.83,53.65,3.91
444,Grand Baie,75,MU,7/23/2018,73,-20.02,57.58,71.6,21.92
445,Roebourne,0,AU,7/23/2018,55,-20.77,117.15,55,5.48
446,Tuatapere,48,NZ,7/23/2018,100,-46.13,167.69,39.7,11.97
447,Takoradi,80,GH,7/23/2018,96,4.89,-1.75,77.41,8.61
448,Nokaneng,0,BW,7/23/2018,53,-19.66,22.19,55.72,10.07
449,Padang,64,ID,7/23/2018,100,-0.92,100.36,78.85,0.34
450,Eyl,0,SO,7/23/2018,68,7.98,49.82,81.28,25.05
451,Port Augusta,0,AU,7/23/2018,93,-32.49,137.76,48.2,10.29
452,Gambela,44,ET,7/23/2018,90,8.25,34.59,64.27,2.91
453,Gazanjyk,12,TM,7/23/2018,26,39.24,55.52,88.84,8.72
454,Iquitos,75,PE,7/23/2018,62,-3.75,-73.25,86,3.36
455,Adet,32,ET,7/23/2018,100,11.26,37.49,54.91,3.02
456,Vidalia,1,US,7/23/2018,55,31.57,-91.43,91.4,8.05
457,Gushikawa,1,JP,7/23/2018,88,26.35,127.87,82.4,4.7
458,Verkhnevilyuysk,88,RU,7/23/2018,90,63.45,120.31,51.85,2.68
459,Alenquer,20,BR,7/23/2018,66,-1.95,-54.74,87.8,5.82
460,Tucuman,8,PE,7/23/2018,68,-17.17,-70.89,66.07,3.58
461,Hambantota,12,LK,7/23/2018,98,6.12,81.12,80.38,19.8
462,Springbok,0,ZA,7/23/2018,42,-29.67,17.88,51.85,5.48
463,Jalu,0,LY,7/23/2018,31,29.03,21.55,82.9,3.36
464,San Quintin,92,PH,7/23/2018,93,17.54,120.52,71.02,2.68
465,Kita,75,JP,7/23/2018,88,35.76,139.74,80.6,3.36
466,Dimbokro,32,CI,7/23/2018,84,6.65,-4.7,78.31,3.8
467,Katangli,80,RU,7/23/2018,97,51.71,143.23,49.42,4.25
468,Turukhansk,32,RU,7/23/2018,74,65.8,87.96,49.15,8.5
469,Kunming,40,CN,7/23/2018,93,25.04,102.71,60.8,6.71
470,San Remo,24,AU,7/23/2018,65,-33.21,151.52,44.6,5.82
471,Tolaga Bay,48,NZ,7/23/2018,80,-38.37,178.3,42.04,4.36
472,Virden,0,CA,7/23/2018,48,49.85,-100.93,74.8,18.57
473,Nevers,0,FR,7/23/2018,44,46.99,3.16,77,3.36
474,Dzilam Gonzalez,12,MX,7/23/2018,90,21.28,-88.93,88.39,4.7
475,Ahipara,92,NZ,7/23/2018,100,-35.17,173.16,49.78,4.81
476,Akrini,32,GR,7/23/2018,84,40.44,21.91,63.1,1.9
477,Kavaratti,80,IN,7/23/2018,96,10.57,72.64,82.63,25.61
478,Kon Tum,92,VN,7/23/2018,97,14.36,108,70.21,5.82
479,Houma,0,CN,7/23/2018,97,35.63,111.36,67.6,2.35
480,Cayenne,88,GF,7/23/2018,78,4.94,-52.33,82.4,11.41
481,Yerbogachen,56,RU,7/23/2018,75,61.28,108.01,50.68,5.26
482,Shimoda,80,JP,7/23/2018,94,34.7,138.93,78.76,5.14
483,Araouane,76,ML,7/23/2018,23,18.9,-3.53,93.97,2.13
484,Mosquera,75,CO,7/23/2018,45,4.71,-74.23,66.2,11.41
485,Arai,75,JP,7/23/2018,88,35.71,139.67,80.6,3.36
486,Coahuayana,0,MX,7/23/2018,40,18.62,-100.35,90.55,3.02
487,Kanadey,92,RU,7/23/2018,78,53.17,47.53,60.85,9.51
488,Humberto de Campos,56,BR,7/23/2018,77,-2.6,-43.46,85.24,5.48
489,Havre-Saint-Pierre,40,CA,7/23/2018,82,50.23,-63.6,68,17.22
490,Yeniseysk,24,RU,7/23/2018,74,58.45,92.17,49.78,4.36
491,Warrington,40,GB,7/23/2018,77,53.39,-2.59,75.2,8.05
492,Korhogo,80,CI,7/23/2018,74,9.46,-5.63,80.11,4.81
493,Itumba,0,TZ,7/23/2018,76,-9.4,33.18,53.92,9.17
494,Litovko,0,RU,7/23/2018,91,49.24,135.18,70.21,2.13
495,Aswan,0,EG,7/23/2018,15,24.09,32.9,96.8,6.93
496,Luwingu,0,ZM,7/23/2018,58,-10.26,29.92,59.95,9.17
497,Constitucion,20,MX,7/23/2018,20,23.99,-104.67,86,8.05
498,Weatherford,1,US,7/23/2018,26,32.76,-97.8,107.6,16.11
499,Morondava,0,MG,7/23/2018,73,-20.3,44.28,70.84,14.32
500,Belyy Yar,40,RU,7/23/2018,60,53.6,91.39,73.4,15.66
501,Marolambo,88,MG,7/23/2018,98,-20.05,48.13,52.75,6.26
502,Grafton,0,AU,7/23/2018,97,-29.69,152.93,44.65,4.14
503,Saldanha,0,PT,7/23/2018,45,41.42,-6.55,72.73,6.6
504,Nova Era,36,BR,7/23/2018,73,-19.77,-43.04,62.2,2.91
505,Svodin,0,SK,7/23/2018,77,47.91,18.5,68,8.05
506,Vadso,40,NO,7/23/2018,93,70.07,29.75,60.8,9.17
507,Sapa,90,PH,7/23/2018,100,14.32,120.76,78.8,6.26
508,Kajaani,0,FI,7/23/2018,82,64.22,27.73,66.2,1.12
509,Bam,20,IR,7/23/2018,36,29.11,58.36,75.25,2.91
510,Kazerun,56,IR,7/23/2018,24,29.62,51.65,81.55,3.69
511,Emba,0,CY,7/23/2018,69,34.81,32.42,84.2,3.36
512,Marsa Matruh,0,EG,7/23/2018,74,31.35,27.25,80.6,9.17
513,Moundou,64,TD,7/23/2018,92,8.57,16.07,74.17,1.79
514,Louis Trichardt,0,ZA,7/23/2018,89,-23.04,29.91,51.31,4.47
515,Canto do Buriti,0,BR,7/23/2018,30,-8.11,-42.94,86.23,9.4
516,Mayo,40,CA,7/23/2018,38,63.59,-135.9,75.2,5.82
517,Pasco,1,US,7/23/2018,27,46.24,-119.1,95,3.36
518,Coihaique,75,CL,7/23/2018,65,-45.58,-72.07,50,6.93
519,Ballina,75,IE,7/23/2018,77,54.11,-9.15,59,8.05
520,Sao Joao da Barra,20,BR,7/23/2018,61,-21.64,-41.05,78.8,18.34
521,Kenora,75,CA,7/23/2018,47,49.76,-94.48,77,17.22
522,Goderich,76,CA,7/23/2018,79,43.74,-81.71,78.04,7.16
523,Dong Hoi,64,VN,7/23/2018,95,17.48,106.6,81.91,25.61
524,Lakes Entrance,24,AU,7/23/2018,73,-37.88,147.99,54.64,11.3
525,Kango,100,GA,7/23/2018,94,0.19,10.1,74.53,3.13
526,Zhanaozen,100,KZ,7/23/2018,31,43.35,52.85,89.65,4.36
527,Yermakovskoye,36,RU,7/23/2018,86,53.28,92.4,64.54,2.91
528,Seymchan,0,RU,7/23/2018,51,62.93,152.39,65.89,6.26
529,Kushima,8,JP,7/23/2018,100,31.5,131.29,77.14,5.7
530,Paamiut,32,GL,7/23/2018,89,61.99,-49.67,43.12,15.55
531,Marsh Harbour,20,BS,7/23/2018,97,26.54,-77.06,84.79,13.98
532,Venado Tuerto,0,AR,7/23/2018,41,-33.75,-61.97,46.9,4.81
533,Sterling,90,US,7/23/2018,78,39,-77.4,84.2,12.75
534,Tezu,68,IN,7/23/2018,98,27.93,96.16,67.42,1.23
535,Baturaja,0,ID,7/23/2018,86,-4.12,104.17,73.9,4.03
536,Flinders,0,AU,7/23/2018,65,-34.58,150.85,41,7.72
537,Mendoza,0,AR,7/23/2018,37,-32.89,-68.84,50,9.17
538,Akureyri,90,IS,7/23/2018,81,65.68,-18.09,50,9.17
539,Atasu,76,KZ,7/23/2018,63,48.68,71.64,51.94,9.17
540,Benito Juarez,0,MX,7/23/2018,21,28.64,-111.57,109.27,9.73
541,Tiarei,20,PF,7/23/2018,61,-17.53,-149.33,82.4,6.93
